composer,score,leitmotif,match_type,similarity,start_note_idx,end_note_idx,representation,edit_distance
ennio_morricone,Love theme - Ennio Morricone,Ring_motif,contour,0.8571,85,92,contour,0
ennio_morricone,Playing Love – The Legend of 1900,Ring_motif,contour,0.8571,116,123,contour,0
ennio_morricone,Playing Love – The Legend of 1900,Ring_motif,contour,0.8571,150,157,contour,0
john_williams,Holiday Flight (from Home Alone 2) - John Williams_Joni Leiman (Solo Piano Transcription),Ring_motif,contour,0.8571,273,280,contour,0
ennio_morricone,Playing Love – The Legend of 1900,Ring_motif,contour,0.8571,173,180,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,2948,2955,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,2692,2699,contour,0
john_williams,John William - Jurassic Park Theme,Ring_motif,contour,0.8571,705,712,contour,0
max_steiner,Gone With The Wind Suite – Max Steiner,Ring_motif,contour,0.8571,3122,3129,contour,0
ennio_morricone,Here's to you - Ennio Morricone,Ring_motif,contour,0.8571,90,97,contour,0
ennio_morricone,Here's to you - Ennio Morricone,Ring_motif,contour,0.8571,50,57,contour,0
ennio_morricone,Ennio Morricone - Poverty,Ring_motif,contour,0.8571,40,47,contour,0
ennio_morricone,Here's to you - Ennio Morricone,Ring_motif,contour,0.8571,30,37,contour,0
howard_shore,In Dreams (from Lord Of The Rings) – Howard Shore _ Piano,Ring_motif,contour,0.8571,201,208,contour,0
howard_shore,In Dreams (from Lord Of The Rings) – Howard Shore _ Piano,Ring_motif,contour,0.8571,111,118,contour,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),Ring_motif,contour,0.8571,258,265,contour,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),Ring_motif,contour,0.8571,239,246,contour,0
john_williams,John Williams - Schindler's List (Main Theme) (for violin and piano),Ring_motif,contour,0.8571,204,211,contour,0
