composer,score,leitmotif,match_class,combined_score,interval_sim,contour_sim,rhythm_sim,start_note_idx,end_note_idx,edit_distance
erich_wolfgang_korngold,Wedding March from _Midsummer Nigt's Dream_ (F.Mendelssohn),Sword_motif,strong,0.7667,0.6667,1.0,0.6667,37,44,0
john_williams,The Chairman's Walz (from Memoirs of a Geisha),Mime_motif,strong,0.7667,0.6667,1.0,0.6667,53,57,0
erich_wolfgang_korngold,Korngold_ Love Scene from The Adventures of Robin Hood (1938),Mime_motif,strong,0.7667,0.6667,1.0,0.6667,490,494,0
ennio_morricone,Malena by Ennio Morricone _ Viola and piano,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,92,96,0
john_williams,Somewhere In My Memory by John Williams,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,66,70,0
ennio_morricone,Love theme - Ennio Morricone,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,110,114,0
ennio_morricone,Deborah's Theme - C'era una volta in America (Once upon a time in America),Mime_motif,strong,0.7667,0.6667,1.0,0.6667,100,104,0
ennio_morricone,Love theme - Ennio Morricone,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,59,63,0
erich_wolfgang_korngold,Korngold_ Love Scene from The Adventures of Robin Hood (1938),Mime_motif,strong,0.7667,0.6667,1.0,0.6667,565,569,0
ennio_morricone,Man with a harmonica - Ennio Morricone,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,85,89,0
john_williams,Close Encounters of the Third Kind  Suite – John Williams,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,245,249,0
erich_wolfgang_korngold,The Adventures of Robin Hood -  Finale,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,58,62,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,35,39,0
max_steiner,The Charge of The Light Brigade  -  Overture _ Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,535,539,0
max_steiner,Gone With The Wind Suite – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,3255,3259,0
max_steiner,Gone With The Wind Suite – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,2250,2254,0
max_steiner,Gone With The Wind Suite – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,1902,1906,0
max_steiner,Gone With The Wind Suite – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,1364,1368,0
max_steiner,Gone With The Wind Suite – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,286,290,0
howard_shore,The Shire,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,6,10,0
max_steiner,The Charge of The Light Brigade  -  March – Max Steiner,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,7,11,0
john_williams,Close Encounters of the Third Kind  Suite – John Williams,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,270,274,0
john_williams,Close Encounters of the Third Kind  Suite – John Williams,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,141,145,0
john_williams,Close Encounters of the Third Kind  Suite – John Williams,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,151,155,0
john_williams,Close Encounters of the Third Kind  Suite – John Williams,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,161,165,0
john_williams,Close Encounters of the Third Kind  Suite – John Williams,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,166,170,0
john_williams,Hymn To The Fallen (Saving Private Ryan) Organ Cover,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,129,133,0
john_williams,Close Encounters of the Third Kind  Suite – John Williams,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,255,259,0
john_williams,Close Encounters of the Third Kind  Suite – John Williams,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,265,269,0
max_steiner,The Adventures of Don Juan Suite,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,10,14,0
erich_wolfgang_korngold,The Adventures of Robin Hood -  Finale,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,232,236,0
erich_wolfgang_korngold,The Adventures of Robin Hood – Erich Wolfgang Korngold Feast in The  Forest,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,538,542,0
ennio_morricone,Here's to you - Ennio Morricone,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,71,75,0
john_williams,John William - Jurassic Park Theme,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,69,73,0
john_williams,Indiana jones theme – John Williams,Mime_motif,strong,0.7667,0.6667,1.0,0.6667,11,15,0
